Calender Year,Domestic Tourists,Foreign Tourists
2011,"93,81,455","7,32,985"
2012,"1,00,76,854","7,93,696"
2013,"1,08,57,811","8,58,143"
2014,"1,16,95,411","9,23,366"
2015,"1,24,65,571","9,77,479"
2016,"1,31,72,535","10,38,419"
2017,"1,46,73,520","10,91,870"
2018,"1,56,04,661","10,96,407"
2019,"1,83,84,233","11,89,771"
2020,"49,88,972","3,40,755"
2021,"75,37,617","60,487"
2022,"18,86,74,414","3,45,549"
2023,"2,18,71,641","6,49,057"
2024,"2,22,46,989","7,38,374"
2025,"2,50,58,366","8,21,999"
